Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Trans Creeper Gear,Unique Label?,Air Aspiration Method Desc,Fuel Metering Sys Desc,Cyl Deact?
3.8,6,28.2451,7,10.0,2,2,N,Y,Naturally Aspirated,@@@@@,N
5.7,8,19.0631,6,85.0,2,2,N,N,none given,Multipoint/sequential fuel injection,N
,6,24.6374,6,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
,4,34.0888,6,85.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,N
2.0,4,33.9305,6,10.0,2,2,N,Y,none given,Spark Ignition Direct Injection,N
2.0,4,35.4089,8,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
,8,24.7961,8,15.0,2,2,N,N,none given,Spark Ignition direct & ported injection,
3.0,6,29.4319,7,10.0,2,2,N,Y,none given,Spark Ignition Direct Injection,
4.0,8,26.2333,7,10.0,2,2,N,,none given,Spark Ignition Direct Injection,   
3.7,6,25.5781,6,15.0,2,2,N,N,none given,Multipoint/sequential fuel injection,
,4,44.8007,5,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
,4,40.7561,6,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
5.7,8,19.2488,8,15.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
2.0,4,54.9862,1,15.0,2,2,N,Y,Naturally Aspirated,@@@@@,
,12,15.0373,7,10.0,2,1,N,,none given,Multipoint/sequential fuel injection,N
3.6,6,31.0325,8,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,Y
3.0,6,29.3454,8,15.0,2,2,N,Y,Supercharged,@@@@@,N
,4,36.7702,1,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
3.0,6,Mod,8,,2,2,N,N,none given,Common Rail Direct Diesel Injection,   
3.5,6,24.4655,6,15.0,2,2,N,N,Naturally Aspirated,Spark Ignition direct & ported injection,
2.0,4,40.9252,6,10.0,2,2,N,N,none given,@@@@@,N
,4,36.1495,7,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,   
2.0,4,38.0851,6,10.0,2,2,N,N,Turbocharged,@@@@@,N
5.7,8,19.7148,6,85.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
3.5,6,26.1394,6,15.0,2,2,N,N,Naturally Aspirated,Spark Ignition direct & ported injection,
2.5,4,34.9149,6,15.0,2,2,N,Y,none given,Multipoint/sequential fuel injection,   
2.0,4,40.4766,6,85.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
2.0,4,40.1673,6,10.0,2,2,N,N,none given,@@@@@,   
2.0,4,36.7711,6,10.0,2,2,N,Y,none given,Spark Ignition Direct Injection,   
1.6,4,42.1145,6,10.0,2,2,N,N,none given,@@@@@,N
,6,23.9079,5,15.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
2.5,4,27.2296,6,10.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,   
5.5,8,24.0623,7,10.0,2,2,N,,none given,Spark Ignition Direct Injection,   
,4,37.0001,7,10.0,2,2,N,N,Supercharged,Multipoint/sequential fuel injection,   
3.0,6,25.0855,7,10.0,2,2,N,N,Turbocharged,@@@@@,N
,4,39.1294,6,15.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,
