Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Var Valve Lift?,Fuel Metering Sys Desc,Stop/Start System (Engine Management System)  Description,Air Aspiration Method Desc,Label Recalc?
2.0,4,32.3011,8,85.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,Y
2.0,4,33.7397,6,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.5,5,28.4436,7,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,30.3673,6,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
3.0,6,26.9372,7,15.0,2,2,Y,Spark Ignition Direct Injection,No,Supercharged,N
3.0,6,24.4063,6,15.0,2,2,Y,Spark Ignition Direct Injection,No,Supercharged,N
3.0,6,26.4165,7,15.0,2,2,Y,Spark Ignition Direct Injection,No,Supercharged,N
2.0,4,33.4616,6,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,31.9024,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
4.0,8,21.7662,8,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
6.0,12,18.1658,8,15.0,2,2,N,Multipoint/sequential fuel injection,No,Turbocharged,N
6.0,12,16.487000000000002,8,15.0,2,2,N,Multipoint/sequential fuel injection,No,Turbocharged,N
2.0,4,36.5536,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,37.3822,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,32.7108,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,35.3177,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,36.6485,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,36.5536,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,34.3106,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,31.430999999999997,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,31.2584,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,30.8026,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,31.6571,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.3468,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.3468,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.4,8,25.1219,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.4,8,25.1219,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.4,8,23.6104,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.4,8,24.5187,8,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
3.0,6,29.5465,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,26.988000000000003,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,33.2211,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.6872,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,33.2211,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,28.8827,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,32.8946,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,32.8946,8,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,25.1945,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,26.1317,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.4,8,20.4936,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.4,8,21.9503,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.4,8,20.4936,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
4.4,8,21.9503,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
1.6,4,29.6672,6,10.0,1,1,N,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,33.0074,8,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,30.6567,6,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
3.6,6,29.3148,8,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Naturally Aspirated,N
3.6,6,25.5429,6,10.0,2,2,N,Spark Ignition Direct Injection,No,Naturally Aspirated,N
6.2,8,18.7422,10,10.0,1,1,N,Spark Ignition Direct Injection,No,Supercharged,N
6.2,8,26.1927,8,10.0,1,1,N,Spark Ignition Direct Injection,No,Naturally Aspirated,N
6.2,8,20.3223,6,10.0,1,1,N,Spark Ignition Direct Injection,No,Supercharged,N
6.2,8,24.910999999999998,6,10.0,1,1,N,Spark Ignition Direct Injection,No,Naturally Aspirated,N
1.4,4,45.6471,1,10.0,2,2,Y,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
1.4,4,45.1098,5,10.0,2,2,Y,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
1.4,4,45.6471,1,10.0,2,2,Y,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
1.4,4,45.1098,5,10.0,2,2,Y,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
1.6,4,42.4567,6,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
1.6,4,41.3015,5,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
1.0,3,48.2863,5,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
2.3,4,32.6823,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
2.3,4,33.2406,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
3.7,6,28.2073,6,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
3.7,6,27.0362,6,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
5.0,8,24.2832,6,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
5.0,8,23.5418,6,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
2.3,4,30.9447,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
2.3,4,33.2406,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
5.0,8,23.3121,6,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
5.0,8,23.5418,6,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
2.3,4,32.6823,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
2.3,4,33.2406,6,15.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
5.0,8,23.5418,6,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
5.2,8,20.6769,6,15.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
3.0,6,29.5309,7,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
3.0,6,28.7775,7,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
